----- POSITION COMMAND -----
16.33	-0.00	-0.00	1.18
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
42.12 1.00 0.09 1.19 -0.00 -0.01 -0.00
42.17 1.00 0.09 1.19 -0.00 -0.03 -0.00
42.22 1.00 0.09 1.19 -0.00 -0.04 -0.00
42.27 1.00 0.09 1.19 -0.00 -0.05 -0.00
42.32 1.00 0.09 1.19 -0.00 -0.07 -0.00
42.37 1.00 0.08 1.19 -0.00 -0.08 -0.00
42.42 1.00 0.08 1.19 -0.00 -0.09 -0.00
42.47 1.00 0.07 1.19 -0.00 -0.09 -0.00
42.52 1.00 0.07 1.19 -0.00 -0.10 -0.00
42.57 1.00 0.06 1.19 -0.00 -0.10 -0.00
42.62 1.00 0.06 1.19 -0.00 -0.11 -0.00
42.67 1.00 0.05 1.19 -0.00 -0.11 -0.00
42.72 1.00 0.05 1.19 -0.00 -0.11 0.00
42.77 1.00 0.04 1.19 -0.00 -0.11 -0.00
42.82 1.00 0.04 1.19 -0.00 -0.11 -0.00
42.87 1.00 0.03 1.19 -0.00 -0.10 -0.00
42.92 1.00 0.03 1.19 0.00 -0.10 -0.00
42.97 1.00 0.02 1.19 0.00 -0.10 -0.00
43.2 1.00 0.02 1.19 0.00 -0.09 -0.00
43.7 1.00 0.01 1.19 0.00 -0.08 -0.00
43.12 1.00 0.01 1.19 0.00 -0.08 -0.00
43.17 1.00 0.00 1.19 0.00 -0.07 -0.00
43.22 1.00 0.00 1.19 0.00 -0.07 -0.00
43.27 1.00 -0.00 1.19 0.00 -0.06 -0.00
43.32 1.00 -0.01 1.19 0.00 -0.05 -0.00
43.37 1.00 -0.01 1.19 0.00 -0.05 -0.00
43.42 1.00 -0.01 1.19 0.00 -0.04 -0.00
43.47 1.00 -0.01 1.19 0.00 -0.03 -0.00
43.52 1.00 -0.01 1.19 0.00 -0.03 -0.00
43.57 1.00 -0.01 1.19 0.00 -0.02 -0.00
43.62 1.00 -0.01 1.19 0.00 -0.01 -0.00
43.67 1.00 -0.02 1.19 0.00 -0.01 -0.00
43.72 1.00 -0.02 1.19 0.00 -0.00 -0.00
43.77 1.00 -0.02 1.19 0.00 0.00 -0.00
43.82 1.00 -0.02 1.19 0.00 0.01 -0.00
43.87 1.00 -0.01 1.19 0.00 0.01 -0.00
43.92 1.00 -0.01 1.19 0.00 0.01 -0.00
43.97 1.00 -0.01 1.19 0.00 0.02 -0.00
44.2 1.00 -0.01 1.19 0.00 0.02 -0.00
44.7 1.00 -0.01 1.19 0.00 0.02 -0.00
44.12 1.00 -0.01 1.19 0.00 0.02 -0.00
44.17 1.00 -0.01 1.19 0.00 0.02 -0.00
44.22 1.00 -0.01 1.19 0.00 0.03 -0.00
44.27 1.00 -0.01 1.19 0.00 0.03 -0.00
44.32 1.00 -0.01 1.19 0.00 0.03 -0.00
44.37 1.00 -0.00 1.19 0.00 0.03 -0.00
44.42 1.00 -0.00 1.19 0.00 0.03 -0.00
44.47 1.00 -0.00 1.19 0.00 0.02 -0.00
44.52 1.00 -0.00 1.19 0.00 0.02 -0.00
44.57 1.00 0.00 1.19 0.00 0.02 -0.00
44.62 1.00 0.00 1.19 0.00 0.02 -0.00
44.67 1.00 0.00 1.19 0.00 0.02 -0.00
44.72 1.00 0.00 1.19 0.00 0.02 -0.00
44.77 1.00 0.00 1.19 0.00 0.02 -0.00
44.82 1.00 0.01 1.19 0.00 0.01 -0.00
44.87 1.00 0.01 1.19 0.00 0.01 -0.00
44.92 1.00 0.01 1.19 0.00 0.01 -0.00
44.97 1.00 0.01 1.19 0.00 0.01 -0.00
45.2 1.00 0.01 1.19 0.00 0.01 -0.00
45.7 1.00 0.01 1.19 0.00 0.01 -0.00
45.12 1.00 0.01 1.19 0.00 0.00 -0.00
45.17 1.00 0.01 1.19 0.00 0.00 -0.00
45.22 1.00 0.01 1.19 0.00 0.00 -0.00
45.27 1.00 0.01 1.19 0.00 -0.00 -0.00
45.32 1.00 0.01 1.19 0.00 -0.00 -0.00
45.37 1.00 0.01 1.19 0.00 -0.00 -0.00
45.42 1.00 0.01 1.19 0.00 -0.00 -0.00
45.47 1.00 0.01 1.19 0.00 -0.01 -0.00
45.52 1.00 0.01 1.19 0.00 -0.01 -0.00
45.57 1.00 0.01 1.19 0.00 -0.01 -0.00
45.62 1.00 0.01 1.19 0.00 -0.01 -0.00
45.67 1.00 0.01 1.19 0.00 -0.01 -0.00
45.72 1.00 0.01 1.19 0.00 -0.01 -0.00
45.77 1.00 0.01 1.19 0.00 -0.01 -0.00
45.82 1.00 0.00 1.19 0.00 -0.01 -0.00
45.87 1.00 0.00 1.19 0.00 -0.01 -0.00
45.92 1.00 0.00 1.19 0.00 -0.01 -0.00
45.97 1.00 0.00 1.19 0.00 -0.01 -0.00
46.2 1.00 0.00 1.19 0.00 -0.01 -0.00
46.7 1.00 0.00 1.19 0.00 -0.01 -0.00
46.12 1.00 0.00 1.19 0.00 -0.01 -0.00
46.17 1.00 0.00 1.19 0.00 -0.01 -0.00
46.22 1.00 0.00 1.19 0.00 -0.01 -0.00
46.27 1.00 0.00 1.19 0.00 -0.01 -0.00
46.32 1.00 0.00 1.19 0.00 -0.01 -0.00
46.37 1.00 0.00 1.19 0.00 -0.01 -0.00
46.42 1.00 0.00 1.19 0.00 -0.01 -0.00
46.47 1.00 -0.00 1.19 0.00 -0.01 -0.00
46.52 1.00 -0.00 1.19 0.00 -0.00 -0.00
46.57 1.00 -0.00 1.19 0.00 -0.00 -0.00
46.62 1.00 -0.00 1.19 0.00 -0.00 -0.00
46.67 1.00 -0.00 1.19 0.00 -0.00 -0.00
46.72 1.00 -0.00 1.19 0.00 -0.00 -0.00
46.77 1.00 -0.00 1.19 0.00 -0.00 -0.00
46.82 1.00 -0.00 1.19 0.00 -0.00 -0.00
46.87 1.00 -0.00 1.19 0.00 -0.00 -0.00
46.92 1.00 -0.00 1.19 0.00 -0.00 -0.00
----- POSITION COMMAND -----
47.98	-0.00	-0.00	1.19
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
47.99 1.00 -0.00 1.19 0.00 0.00 -0.00
48.4 1.00 -0.00 1.19 0.00 0.00 -0.00
48.9 1.00 -0.00 1.19 -0.07 0.00 -0.01
48.14 0.99 -0.00 1.18 -0.25 0.00 -0.04
48.19 0.97 -0.00 1.18 -0.46 0.00 -0.07
48.24 0.94 -0.00 1.18 -0.66 0.00 -0.08
48.29 0.91 -0.00 1.17 -0.83 0.00 -0.09
48.34 0.86 0.00 1.17 -0.98 0.00 -0.08
48.39 0.81 0.00 1.17 -1.10 0.00 -0.06
48.44 0.75 0.00 1.16 -1.19 0.00 -0.04
48.49 0.69 0.00 1.16 -1.26 0.00 -0.02
48.54 0.63 0.00 1.16 -1.31 0.00 -0.01
48.59 0.56 0.00 1.16 -1.33 0.00 0.01
48.64 0.49 0.00 1.16 -1.33 0.00 0.02
48.69 0.43 0.00 1.16 -1.32 0.00 0.03
48.74 0.36 0.00 1.16 -1.30 0.00 0.04
48.79 0.30 0.00 1.17 -1.26 0.00 0.04
48.84 0.23 0.00 1.17 -1.21 0.00 0.04
48.89 0.18 0.00 1.17 -1.15 0.00 0.04
48.94 0.12 0.00 1.17 -1.09 0.00 0.03
48.99 0.07 0.00 1.17 -1.02 0.00 0.03
49.4 0.02 0.00 1.17 -0.94 0.00 0.03
49.9 -0.03 0.00 1.18 -0.86 0.00 0.02
49.14 -0.07 0.00 1.18 -0.77 0.00 0.02
49.19 -0.10 0.00 1.18 -0.69 -0.00 0.01
49.24 -0.14 0.00 1.18 -0.60 -0.00 0.01
49.29 -0.16 0.00 1.18 -0.52 -0.00 0.01
49.34 -0.19 0.00 1.18 -0.43 -0.00 0.00
49.39 -0.21 0.00 1.18 -0.35 -0.00 0.00
49.44 -0.22 0.00 1.18 -0.27 -0.00 0.00
49.49 -0.23 0.00 1.18 -0.19 -0.00 0.00
49.54 -0.24 0.00 1.18 -0.12 -0.00 0.00
49.59 -0.25 0.00 1.18 -0.05 -0.00 0.00
49.64 -0.25 0.00 1.18 0.02 -0.00 0.00
49.69 -0.24 0.00 1.18 0.08 -0.00 0.01
49.74 -0.24 0.00 1.18 0.13 -0.00 0.01
49.79 -0.23 0.00 1.18 0.18 -0.00 0.01
49.84 -0.22 0.00 1.18 0.22 -0.00 0.01
49.89 -0.21 0.00 1.18 0.25 -0.00 0.01
49.94 -0.20 0.00 1.18 0.28 -0.00 0.01
49.99 -0.18 0.00 1.18 0.31 -0.00 0.01
50.4 -0.17 0.00 1.18 0.33 -0.00 0.01
50.9 -0.15 0.00 1.18 0.34 -0.00 0.01
50.14 -0.13 0.00 1.18 0.35 -0.00 0.01
50.19 -0.11 0.00 1.19 0.36 -0.00 0.01
50.24 -0.10 0.00 1.19 0.36 -0.00 0.01
50.29 -0.08 0.00 1.19 0.35 -0.00 0.01
50.34 -0.06 0.00 1.19 0.34 -0.00 0.01
50.39 -0.04 -0.00 1.19 0.33 -0.00 0.01
50.44 -0.03 -0.00 1.19 0.32 -0.00 0.01
50.49 -0.01 -0.00 1.19 0.30 -0.00 0.01
50.54 0.00 -0.00 1.19 0.29 -0.00 0.01
50.59 0.02 -0.00 1.19 0.27 -0.00 0.01
50.64 0.03 -0.00 1.19 0.24 -0.00 0.00
50.69 0.04 -0.00 1.19 0.22 -0.00 0.00
50.74 0.05 -0.00 1.19 0.20 -0.00 0.00
50.79 0.06 -0.00 1.19 0.17 -0.00 0.00
50.84 0.07 -0.00 1.19 0.15 -0.00 0.00
50.89 0.08 -0.00 1.19 0.13 -0.00 -0.00
50.94 0.08 -0.00 1.19 0.10 -0.00 -0.00
50.99 0.09 -0.00 1.19 0.08 -0.00 -0.00
51.4 0.09 -0.00 1.19 0.06 -0.00 -0.00
51.9 0.09 -0.00 1.19 0.04 -0.00 -0.00
51.14 0.09 -0.00 1.19 0.02 -0.00 -0.00
51.19 0.09 -0.00 1.19 -0.00 -0.00 -0.00
51.24 0.09 -0.00 1.19 -0.02 0.00 -0.00
51.29 0.09 -0.00 1.19 -0.04 0.00 -0.00
51.34 0.09 -0.00 1.19 -0.05 0.00 -0.00
51.39 0.09 -0.00 1.19 -0.06 0.00 -0.00
51.44 0.08 -0.00 1.19 -0.07 0.00 -0.00
51.49 0.08 -0.00 1.19 -0.08 0.00 -0.00
51.54 0.08 -0.00 1.19 -0.09 0.00 -0.00
51.59 0.07 -0.00 1.19 -0.10 0.00 -0.00
51.64 0.07 -0.00 1.19 -0.10 0.00 -0.00
51.69 0.06 -0.00 1.19 -0.11 0.00 -0.00
51.74 0.06 -0.00 1.19 -0.11 0.00 -0.00
51.79 0.05 -0.00 1.19 -0.11 0.00 0.00
51.84 0.04 -0.00 1.19 -0.11 0.00 -0.00
51.89 0.04 -0.00 1.19 -0.11 0.00 -0.00
51.94 0.03 -0.00 1.19 -0.10 0.00 -0.00
51.99 0.03 -0.00 1.19 -0.10 0.00 -0.00
52.4 0.02 -0.00 1.19 -0.10 0.00 -0.00
52.9 0.02 -0.00 1.19 -0.09 -0.00 -0.00
52.14 0.01 -0.00 1.19 -0.09 -0.00 -0.00
52.19 0.01 -0.00 1.19 -0.08 -0.00 -0.00
52.24 0.01 -0.00 1.19 -0.07 -0.00 -0.00
52.29 0.00 -0.00 1.19 -0.07 -0.00 -0.00
52.34 -0.00 -0.00 1.19 -0.06 -0.00 -0.00
52.39 -0.00 -0.00 1.19 -0.05 -0.00 -0.00
52.44 -0.01 -0.00 1.19 -0.05 -0.00 -0.00
52.49 -0.01 -0.00 1.19 -0.04 -0.00 -0.00
52.54 -0.01 -0.00 1.19 -0.03 -0.00 -0.00
52.59 -0.01 -0.00 1.19 -0.03 -0.00 -0.00
52.64 -0.01 -0.00 1.19 -0.02 -0.00 -0.00
52.69 -0.01 -0.00 1.19 -0.02 -0.00 -0.00
52.74 -0.01 -0.00 1.19 -0.01 -0.00 -0.00
52.79 -0.01 -0.00 1.19 -0.00 -0.00 -0.00
52.84 -0.01 -0.00 1.19 0.00 -0.00 -0.00
52.89 -0.01 -0.00 1.19 0.00 -0.00 -0.00
52.94 -0.01 -0.00 1.19 0.01 -0.00 -0.00
52.99 -0.01 -0.00 1.19 0.01 -0.00 -0.00
53.4 -0.01 -0.00 1.19 0.02 -0.00 -0.00
53.9 -0.01 -0.00 1.19 0.02 -0.00 -0.00
53.14 -0.01 -0.00 1.19 0.02 -0.00 -0.00
53.19 -0.01 -0.00 1.19 0.02 -0.00 -0.00
53.24 -0.01 -0.00 1.19 0.02 -0.00 -0.00
53.29 -0.01 -0.00 1.19 0.02 -0.00 -0.00
53.34 -0.01 -0.00 1.19 0.03 -0.00 -0.00
53.39 -0.01 -0.00 1.19 0.03 -0.00 -0.00
53.44 -0.00 -0.00 1.19 0.03 -0.00 -0.00
53.49 -0.00 -0.00 1.19 0.03 -0.00 -0.00
53.54 -0.00 -0.00 1.19 0.02 -0.00 -0.00
53.59 -0.00 -0.00 1.19 0.02 -0.00 -0.00
53.64 0.00 -0.00 1.19 0.02 -0.00 -0.00
53.69 0.00 -0.00 1.19 0.02 -0.00 -0.00
53.74 0.00 -0.00 1.19 0.02 -0.00 -0.00
53.79 0.00 -0.00 1.19 0.02 -0.00 -0.00
53.84 0.00 -0.00 1.19 0.02 -0.00 -0.00
53.89 0.01 -0.00 1.19 0.02 -0.00 -0.00
53.94 0.01 -0.00 1.19 0.01 -0.00 -0.00
53.99 0.01 -0.00 1.19 0.01 -0.00 -0.00
54.4 0.01 -0.00 1.19 0.01 -0.00 -0.00
54.9 0.01 -0.00 1.19 0.01 -0.00 -0.00
54.14 0.01 -0.00 1.19 0.01 -0.00 -0.00
54.19 0.01 -0.00 1.19 0.00 -0.00 -0.00
54.24 0.01 -0.00 1.19 0.00 -0.00 -0.00
54.29 0.01 -0.00 1.19 0.00 -0.00 -0.00
54.34 0.01 -0.00 1.19 -0.00 -0.00 -0.00
54.39 0.01 -0.00 1.19 -0.00 -0.00 -0.00
54.44 0.01 -0.00 1.19 -0.00 -0.00 -0.00
54.49 0.01 -0.00 1.19 -0.00 -0.00 -0.00
54.54 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.59 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.64 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.69 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.74 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.79 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.84 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.89 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.94 0.01 -0.00 1.19 -0.01 -0.00 -0.00
54.99 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.4 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.9 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.14 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.19 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.24 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.29 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.34 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.39 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.44 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.49 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.54 0.00 -0.00 1.19 -0.01 -0.00 -0.00
55.59 0.00 -0.00 1.19 -0.00 -0.00 -0.00
55.64 -0.00 -0.00 1.19 -0.00 -0.00 -0.00
55.69 -0.00 -0.00 1.19 -0.00 -0.00 -0.00
55.74 -0.00 -0.00 1.19 -0.00 -0.00 -0.00
55.79 -0.00 -0.00 1.19 -0.00 -0.00 -0.00
55.84 -0.00 -0.00 1.19 -0.00 -0.00 -0.00
55.89 -0.00 -0.00 1.19 -0.00 -0.00 -0.00
55.94 -0.00 -0.00 1.19 -0.00 -0.00 -0.00
55.99 -0.00 -0.00 1.19 -0.00 -0.00 -0.00
----- POSITION COMMAND -----
57.33	0.00	-0.00	0.19
t(s)	x(m)	y(m)	z(m)	vx(m/s)	vy(m/s)	vz(m/s)
57.34 0.00 -0.00 1.19 0.00 -0.00 -0.00
57.39 0.00 -0.00 1.18 0.00 -0.00 -0.19
57.44 0.00 -0.00 1.16 0.00 -0.00 -0.62
57.49 0.00 -0.00 1.12 0.00 -0.00 -0.94
57.54 0.00 -0.00 1.07 0.00 -0.00 -1.17
57.59 0.00 -0.00 1.01 0.00 -0.00 -1.33
57.64 0.00 -0.00 0.94 0.00 0.00 -1.41
57.69 0.00 -0.00 0.87 0.00 0.00 -1.45
57.74 0.00 -0.00 0.80 0.00 0.00 -1.44
57.79 0.00 -0.00 0.72 0.00 0.00 -1.40
57.84 0.00 -0.00 0.66 0.00 0.00 -1.33
57.89 0.00 -0.00 0.59 0.00 0.00 -1.25
57.94 0.00 -0.00 0.53 0.00 0.00 -1.15
57.99 0.00 -0.00 0.48 0.00 0.00 -1.05
58.4 0.00 -0.00 0.43 0.00 0.00 -0.95
58.9 0.00 -0.00 0.38 0.00 0.00 -0.84
58.14 0.00 -0.00 0.34 0.00 0.00 -0.74
58.19 0.00 -0.00 0.31 0.00 0.00 -0.64
58.24 0.00 -0.00 0.28 0.00 0.00 -0.55
58.29 0.00 -0.00 0.25 0.00 0.00 -0.47
58.34 0.00 -0.00 0.23 0.00 0.00 -0.39
58.39 0.00 -0.00 0.21 0.00 0.00 -0.32
58.44 0.00 -0.00 0.20 0.00 0.00 -0.26
58.49 0.00 -0.00 0.19 0.00 0.00 -0.20
58.54 0.00 -0.00 0.18 -0.00 0.00 0.02
58.59 0.00 -0.00 0.18 -0.00 0.00 0.02
58.64 0.00 -0.00 0.18 -0.00 -0.00 0.01
58.69 0.00 -0.00 0.19 -0.00 -0.00 0.01
58.74 0.00 -0.00 0.19 -0.00 -0.00 0.01
58.79 0.00 -0.00 0.19 -0.00 -0.00 0.01
58.84 0.00 -0.00 0.19 -0.00 -0.00 0.01
58.89 0.00 -0.00 0.19 -0.00 -0.00 0.01
58.94 0.00 -0.00 0.19 -0.00 -0.00 0.01
58.99 0.00 -0.00 0.19 -0.00 -0.00 0.00
59.4 0.00 -0.00 0.19 -0.00 -0.00 0.00
59.9 0.00 -0.00 0.19 -0.00 -0.00 0.00
59.14 0.00 -0.00 0.19 -0.00 -0.00 0.00
59.19 0.00 -0.00 0.19 -0.00 -0.00 0.00
